metascore,userscore,genre
41,48,sports
77,69,action
76,79,racing
69,72,shooter
73,73,adventure
72,74,adventure
82,45,sports
76,53,sports
78,66,sports
56,59,misc
77,77,shooter
77,82,action
73,69,simulation
58,48,role-playing
58,63,racing
80,76,misc
68,49,sports
76,33,action
74,75,platform
77,79,misc
68,54,puzzle
65,78,misc
54,73,fighting
71,46,role-playing
81,82,puzzle
77,73,platform
81,70,misc
89,79,racing
87,83,fighting
87,83,simulation
89,75,platform
74,71,shooter
85,73,platform
41,42,puzzle
70,63,misc
45,58,strategy
35,54,misc
76,79,shooter
84,71,sports
72,58,simulation
65,64,strategy
69,73,platform
63,25,strategy
68,77,racing
61,69,racing
48,58,fighting
66,69,shooter
77,50,role-playing
61,62,shooter
78,63,simulation
71,45,action
60,76,puzzle
60,66,shooter
68,60,racing
79,77,adventure
79,85,strategy
74,76,sports
72,68,action
71,71,strategy
73,70,strategy
74,58,puzzle
71,73,puzzle
75,79,puzzle
73,72,adventure
75,53,platform
54,68,action
65,63,strategy
79,75,puzzle
78,80,racing
78,75,adventure
55,45,platform
80,65,racing
77,51,shooter
80,80,action
72,77,puzzle
59,28,misc
75,59,shooter
69,57,simulation
59,53,adventure
69,74,role-playing
65,54,fighting
83,69,misc
78,76,fighting
80,80,racing
76,76,simulation
70,67,adventure
64,61,shooter
40,40,sports
80,83,fighting
78,67,strategy
78,80,action
77,59,role-playing
63,58,platform
49,52,strategy
71,70,strategy
71,71,sports
74,76,fighting
73,52,puzzle
53,72,strategy
75,61,simulation
53,58,action
64,51,misc
56,51,action
40,50,platform
66,54,action
67,72,misc
62,52,misc
50,58,role-playing
66,83,strategy
78,77,fighting
74,68,role-playing
72,70,action
75,76,fighting
57,64,shooter
71,69,adventure
70,65,adventure
69,65,misc
50,40,puzzle
46,18,puzzle
70,74,simulation
59,73,misc
81,82,simulation
21,27,action
69,57,shooter
66,85,adventure
67,61,sports
66,67,puzzle
68,79,action
69,50,misc
66,71,shooter
80,80,strategy
80,84,platform
82,86,racing
73,64,sports
68,54,simulation
62,66,puzzle
76,79,strategy
47,42,adventure
37,49,racing
34,45,adventure
43,28,puzzle
30,16,puzzle
68,76,strategy
66,80,role-playing
63,57,shooter
75,66,strategy
53,65,role-playing
55,67,misc
64,73,action
