name,value,year,lastValue,rank
Nintendo DS,29470000,2008,NA,1
Nintendo Wii,24090000,2008.1,NA,2
Playstation Portable,14050000,2008.1,NA,3
Xbox 360 ,11160000,2008.1,NA,4
PlayStation 3,10460000,2008.1,NA,5
Nintendo Wii U,NA,2008.1,NA,6
PlayStation Vita,NA,2008.1,NA,7
Nintendo 3DS,NA,2008.1,NA,8
Xbox One,NA,2008.1,NA,9
Nintendo Switch,NA,2008.1,NA,10
PlayStation 4,NA,2008.1,NA,11
Nintendo DS,29475430,2008.2,29470000,1
Nintendo Wii,24176349,2008.2,24090000,2
Playstation Portable,14050000,2008.2,14050000,3
Xbox 360 ,11213936,2008.2,11160000,4
PlayStation 3,10558839,2008.2,10460000,5
Nintendo Wii U,NA,2008.2,NA,6
PlayStation Vita,NA,2008.2,NA,7
Nintendo 3DS,NA,2008.2,NA,8
Xbox One,NA,2008.2,NA,9
Nintendo Switch,NA,2008.2,NA,10
PlayStation 4,NA,2008.2,NA,11
Nintendo DS,29538564,2008.3,29475430,1
Nintendo Wii,24179328,2008.3,24176349,2
Playstation Portable,14050000,2008.3,14050000,3
Xbox 360,11284543,2008.3,11213936,4
PlayStation 3,10632207,2008.3,10558839,5
Nintendo Wii U,NA,2008.3,NA,6
PlayStation Vita,NA,2008.3,NA,7
Nintendo 3DS,NA,2008.3,NA,8
Xbox One,NA,2008.3,NA,9
Nintendo Switch,NA,2008.3,NA,10
PlayStation 4,NA,2008.3,NA,11
Nintendo DS,29610896,2008.4,29538564,1
Nintendo Wii,24218154,2008.4,24179328,2
Playstation Portable,14050000,2008.4,14050000,3
Xbox 360,11372316,2008.4,11284543,4
PlayStation 3,10687103,2008.4,10632207,5
Nintendo Wii U,NA,2008.4,NA,6
PlayStation Vita,NA,2008.4,NA,7
Nintendo 3DS,NA,2008.4,NA,8
Xbox One,NA,2008.4,NA,9
Nintendo Switch,NA,2008.4,NA,10
PlayStation 4,NA,2008.4,NA,11
Nintendo DS,29678506,2008.5,29610896,1
Nintendo Wii,24308349,2008.5,24218154,2
Playstation Portable,14050000,2008.5,14050000,3
Xbox 360,11390604,2008.5,11372316,4
PlayStation 3,10725041,2008.5,10687103,5
Nintendo Wii U,NA,2008.5,NA,6
PlayStation Vita,NA,2008.5,NA,7
Nintendo 3DS,NA,2008.5,NA,8
Xbox One,NA,2008.5,NA,9
Nintendo Switch,NA,2008.5,NA,10
PlayStation 4,NA,2008.5,NA,11
Nintendo DS,29746468,2008.6,29678506,1
Nintendo Wii,24400322,2008.6,24308349,2
Playstation Portable,14050000,2008.6,14050000,3
Xbox 360,11485221,2008.6,11390604,4
PlayStation 3,10743937,2008.6,10725041,5
Nintendo Wii U,NA,2008.6,NA,6
PlayStation Vita,NA,2008.6,NA,7
Nintendo 3DS,NA,2008.6,NA,8
Xbox One,NA,2008.6,NA,9
Nintendo Switch,NA,2008.6,NA,10
PlayStation 4,NA,2008.6,NA,11
Nintendo DS,29745682,2008.7,29746468,1
Nintendo Wii,24489800,2008.7,24400322,2
Playstation Portable,14050000,2008.7,14050000,3
Xbox 360,11557447,2008.7,11485221,4
PlayStation 3,10779355,2008.7,10743937,5
Nintendo Wii U,NA,2008.7,NA,6
PlayStation Vita,NA,2008.7,NA,7
Nintendo 3DS,NA,2008.7,NA,8
Xbox One,NA,2008.7,NA,9
Nintendo Switch,NA,2008.7,NA,10
PlayStation 4,NA,2008.7,NA,11
Nintendo DS,29804582,2008.8,29745682,1
Nintendo Wii,24501380,2008.8,24489800,2
Playstation Portable,14050000,2008.8,14050000,3
Xbox 360,11590937,2008.8,11557447,4
PlayStation 3,10835059,2008.8,10779355,5
Nintendo Wii U,NA,2008.8,NA,6
PlayStation Vita,NA,2008.8,NA,7
Nintendo 3DS,NA,2008.8,NA,8
Xbox One,NA,2008.8,NA,9
Nintendo Switch,NA,2008.8,NA,10
PlayStation 4,NA,2008.8,NA,11
Nintendo DS,29855500,2008.9,29804582,1
Nintendo Wii,24522441,2008.9,24501380,2
Playstation Portable,14050000,2008.9,14050000,3
Xbox 360,11634396,2008.9,11590937,4
PlayStation 3,10865523,2008.9,10835059,5
Nintendo Wii U,NA,2008.9,NA,6
PlayStation Vita,NA,2008.9,NA,7
Nintendo 3DS,NA,2008.9,NA,8
Xbox One,NA,2008.9,NA,9
Nintendo Switch,NA,2008.9,NA,10
PlayStation 4,NA,2008.9,NA,11
Nintendo DS,27280000,2009,29855500,1
Nintendo Wii,21050000,2009,24522441,2
PlayStation 3,13260000,2009,10865523,3
Xbox 360,10360000,2009,11634396,4
Playstation Portable,9920000,2009,14050000,5
Nintendo Wii U,NA,2009,NA,6
PlayStation Vita,NA,2009,NA,7
Nintendo 3DS,NA,2009,NA,8
Xbox One,NA,2009,NA,9
Nintendo Switch,NA,2009,NA,10
PlayStation 4,NA,2009,NA,11
Nintendo DS,27371303,2009.1,27280000,1
Nintendo Wii,21068270,2009.1,21050000,2
PlayStation 3,13272408,2009.1,13260000,3
Xbox 360,10440717,2009.1,10360000,4
Playstation Portable,9976426,2009.1,9920000,5
Nintendo Wii U,NA,2009.1,NA,6
PlayStation Vita,NA,2009.1,NA,7
Nintendo 3DS,NA,2009.1,NA,8
Xbox One,NA,2009.1,NA,9
Nintendo Switch,NA,2009.1,NA,10
PlayStation 4,NA,2009.1,NA,11
Nintendo DS,27460549,2009.2,27371303,1
Nintendo Wii,21096793,2009.2,21068270,2
PlayStation 3,13357771,2009.2,13272408,3
Xbox 360,10501572,2009.2,10440717,4
Playstation Portable,10017180,2009.2,9976426,5
Nintendo Wii U,NA,2009.2,NA,6
PlayStation Vita,NA,2009.2,NA,7
Nintendo 3DS,NA,2009.2,NA,8
Xbox One,NA,2009.2,NA,9
Nintendo Switch,NA,2009.2,NA,10
PlayStation 4,NA,2009.2,NA,11
Nintendo DS,27464088,2009.3,27460549,1
Nintendo Wii,21098669,2009.3,21096793,2
PlayStation 3,13367129,2009.3,13357771,3
Xbox 360,10513872,2009.3,10501572,4
Playstation Portable,10020383,2009.3,10017180,5
Nintendo Wii U,NA,2009.3,NA,6
PlayStation Vita,NA,2009.3,NA,7
Nintendo 3DS,NA,2009.3,NA,8
Xbox One,NA,2009.3,NA,9
Nintendo Switch,NA,2009.3,NA,10
